Date,League,Home Team,Away Team,Channel,Network,iptv,Status
"Jan 27, 2025",NBA,Atlanta Hawks,Minnesota Timberwolves,FDSN SE-CHA,,wstr,Wrong Game
"Jan 27, 2025",NBA,Cleveland Cavaliers,Detroit Pistons,FDSN OH,Home,wstr,No Game
"Jan 27, 2025",NHL,New York Knicks,Memphis Grizzlies,FDSN MW,,wstr,Wrong Game
"Jan 27, 2025",NHL,St. Louis Blues,Vancouver Canucks,SNP,Away,wstr,No Game
"Jan 27, 2025",NBA,Boston Celtics,Houston Rockets,NBC Sports Boston,Home,wstr,Complete
"Jan 27, 2025",NBA,Brooklyn Nets,Sacramento Kings,YES,Home,wstr,Complete
"Jan 27, 2025",NBA,Miami Heat,Orlando Magic,FDSN Sun,Home,wstr,Complete
"Jan 27, 2025",NBA,New York Knicks,Memphis Grizzlies,MSG,Home,wstr,Complete
"Jan 27, 2025",NBA,Duke,NC State,TSN2,,wstr,Wrong Game
"Jan 27, 2025",NBA,Toronto Raptors,New Orleans Pelicans,TSN3,Home,wstr,Wrong Game
"Jan 27, 2025",NBA,Chicago Bulls,Denver Nuggets,CHSN,Home,wstr,Complete
"Jan 27, 2025",NBA,Chicago Bulls,Denver Nuggets,ALT,Away,wstr,Complete
"Jan 27, 2025",NBA,Minnesota Timberwolves,Atlanta Hawks,FDSN North,Home,wstr,No Game
"Jan 28, 2025",NHL,New York Rangers,Carolina Hurricanes,MSG,Home,wstr,Wrong Game
"Jan 28, 2025",NHL,New York Rangers,Carolina Hurricanes,MSG Plus,,wstr,Wrong Game
"Jan 28, 2025",NHL,Buffalo Sabres,Boston Bruins,NESN,Away,wstr,Complete
"Jan 28, 2025",NHL,Montréal Canadiens,Winnipeg Jets,TSN2,Home,wstr,Complete
"Jan 28, 2025",NHL,Montréal Canadiens,Winnipeg Jets,TSN3,Away,wstr,No Game
"Jan 28, 2025",NHL,New York Rangers,Carolina Hurricanes,MSG,Home,wstr,Complete
"Jan 28, 2025",NHL,New York Rangers,Carolina Hurricanes,FDSN South,Away,wstr,No Game
"Jan 28, 2025",NHL,Tampa Bay Lightning,Chicago Blackhawks,FDSN Sun,Home,wstr,No Game
"Jan 28, 2025",NHL,Tampa Bay Lightning,Chicago Blackhawks,CHSN,Away,wstr,Complete
"Jan 28, 2025",NCAAB,Seton Hall,Providence,Peacock,National,wstr,No Game
"Jan 28, 2025",NBA,Philadelphia 76ers,Los Angeles Lakers,Spectrum SportsNet,Away,wstr,Complete
"Jan 28, 2025",NBA,Philadelphia 76ers,Los Angeles Lakers,TNT,National,wstr,No Game
"Jan 28, 2025",NCAAB,Michigan State,Minnesota,Peacock,National,wstr,No Game
"Jan 28, 2025",NHL,Calgary Flames,Washington Capitals,SNW,Home,wstr,Complete
"Jan 28, 2025",NHL,Calgary Flames,Washington Capitals,Monumental Sports Network,Away,wstr,Complete
"Jan 28, 2025",NHL,Seattle Kraken,Anaheim Ducks,KING 5,Home,wstr,No Game
"Jan 28, 2025",NHL,Seattle Kraken,Anaheim Ducks,KCOP-13,Away,wstr,No Game
"Jan 28, 2025",NBA,Portland Trail Blazers,Milwaukee Bucks,TNT,National,wstr,No Game
"Jan 29, 2025",NHL,Florida Panthers,Los Angeles Kings,SCRIPPS,Home,wstr,No Game
"Jan 29, 2025",NHL,Florida Panthers,Los Angeles Kings,FDSN West,Away,wstr,No Game
"Jan 29, 2025",NHL,New Jersey Devils,Philadelphia Flyers,TNT,National,wstr,No Game
"Jan 29, 2025",NHL,New York Knicks,Denver Nuggets,TSN4,,wstr,Wrong Game
"Jan 29, 2025",NHL,Toronto Maple Leafs,Minnesota Wild,FDSN WI,Away,wstr,No Game
"Jan 29, 2025",NHL,Toronto Maple Leafs,Minnesota Wild,FDSN North,Away,wstr,No Game
"Jan 29, 2025",NBA,Charlotte Hornets,Brooklyn Nets,FDSN SE-CHA,Home,wstr,No Game
"Jan 29, 2025",NBA,Indiana Pacers,Detroit Pistons,FDSN Indiana,Home,wstr,Complete
"Jan 29, 2025",NBA,Washington Wizards,Toronto Raptors,Monumental Sports Network,Home,wstr,Complete
"Jan 29, 2025",NBA,Washington Wizards,Toronto Raptors,SN1,Away,wstr,No Game
"Jan 29, 2025",NBA,Washington Wizards,Toronto Raptors,SNW,Away,wstr,No Game
"Jan 29, 2025",NBA,Washington Wizards,Toronto Raptors,SNE,Away,wstr,No Game
"Jan 29, 2025",NCAAB,Maryland,Wisconsin,Big Ten Network,National,wstr,Complete
"Jan 29, 2025",NBA,Boston Celtics,Chicago Bulls,NBC Sports Boston,Home,wstr,Complete
"Jan 29, 2025",NBA,Miami Heat,Cleveland Cavaliers,FDSN Sun,Home,wstr,Complete
"Jan 29, 2025",NBA,New York Knicks,Denver Nuggets,MSG,Home,wstr,Complete
"Jan 29, 2025",NBA,New York Knicks,Denver Nuggets,ALT,Away,wstr,No Game
"Jan 29, 2025",NBA,Philadelphia 76ers,Sacramento Kings,NBCSP,Home,wstr,Complete
"Jan 29, 2025",NBA,San Antonio Spurs,Los Angeles Clippers,FDSN SW-SA,Home,wstr,No Game
"Jan 30, 2025",NHL,Boston Bruins,Winnipeg Jets,NESN,Home,wstr,Complete
"Jan 30, 2025",NHL,Boston Bruins,Winnipeg Jets,TSN3,Away,wstr,No Game
"Jan 30, 2025",NHL,Carolina Hurricanes,Chicago Blackhawks,FDSN South,Home,wstr,No Game
"Jan 30, 2025",NHL,Carolina Hurricanes,Chicago Blackhawks,CHSN,Away,wstr,Complete
"Jan 30, 2025",NHL,Montréal Canadiens,Minnesota Wild,TSN2,Home,wstr,Complete
"Jan 30, 2025",NHL,Montréal Canadiens,Minnesota Wild,FDSN North,Away,wstr,No Game
"Jan 30, 2025",NHL,Montréal Canadiens,Minnesota Wild,FDSN WI,Away,wstr,No Game
"Jan 30, 2025",NHL,Ottawa Senators,Washington Capitals,TSN5,Home,wstr,Complete
"Jan 30, 2025",NHL,Ottawa Senators,Washington Capitals,MNMT2,Away,wstr,No Game
